engine_id,engine_name
885,Hedgehog Engine 2
940,Sega NAOMI
973,Sega ALLS
977,CP System III (CPS-3)
981,Blazing Renderer
982,Unreal Engine 5
1040,Jade Engine
1041,Despair
1043,ForzaTech
1045,Eco-Motion Engine
1051,Super Mario 64 Engine
1055,FIFA 2001 Engine
1056,Super Monkey Ball Engine
1062,FIFA International Soccer
1070,XRay-Monolith
1107,sdl2
1108,Starlight
1113,Sunshine Engine
1123,Capcom Play System III (CPS-3)
1125,Ftech X
1133,EngineX
1149,EMotion FX
1152,Custom C# Engine
1154,EngineXT
1155,IW Engine 3.0
1156,Red Ring
1180,FMOD
1182,GameMaker Studio
1195,Core Design
1222,Neo Geo MVS
1236,Namco System
1251,Unity 2021
1263,Oynx Game Solutions
1265,Southpaw
1266,Emulator
1290,Proprietry in house engine
1293,Glacier Engine
1295,The Sims Engine
1307,Halo 3
1308,Halo 2
1309,Halo Reach
1311,Custom Engine
1325,Taito Type-X2
1331,Tiger
1353,EAGL 2
1355,Marmalade
1369,CTG (Core Technology Group)
1435,Octave Engine
1441,Spark
1442,Vicarious Visions Alchemy
1443,Goliath Engine
1444,Merkury Engine
1445,Lux Engine
1446,Hexane Engine
1449,Pure3D
1450,Titanium
1452,LEAD Engine
1456,Zouna
1457,Slayer
1458,WF Engine
1462,Maniaplanet
1487,Katana Engine
1488,Creation Engine 2
1489,Fusion Engine
1490,RUDE
1540,osu!framework
1582,HaemimontSol
1612,Fallout Engine
1616,CARBON Engine
1627,TrueMotion
1635,Buddha
1705,Stranger's engine
1711,Holistic
1713,LithTech Talon
1714,LithTech 2.x
